 01 02 03 04 05 06 07 08 09 10 11
 64 64 64 64 64 65 65 65 65 65 65 
 02 02 02 02 02 8F 65 65 65 65 65 
 65 65 65 65 65 65 64 64 64 64 64 
 65 65 65 3D 12 02 02 02 14 14 14 
 65 65 65 3D 3D 3D 3D 3D 3D 3D 3D 
 15 15 02 02 16 02 02 02 02 15 15 
 64 64 64 64 78 02 02 02 02 29 3D 
 3D 3D 3D 3D 3D 02 50 64 64 64 64 
 15 15 02 15 15 15 15 15 15 15 15 
 3D 3D 02 3D 3D 3D 3D 02 02 29 3D 
 14 14 02 02 02 02 02 02 02 14 14 
 3D 3D 02 2C 12 02 02 02 02 14 14 
 40 40 40 40 40 40 40 40 40 40 40 
 40 40 40 40 40 40 40 40 40 29 3D 
 3D 3D 40 40 40 40 40 40 40 40 40 
 90 90 90 90 46 02 02 29 3D 3D 3D 
 3D 3D 02 51 65 65 65 8C 02 29 3D 
 3D 3D 02 51 65 65 65 65 65 65 65 
 3D 3D 02 51 65 65 65 8D 02 29 3D 
 64 64 64 64 78 02 02 02 02 15 15 
 15 15 15 15 02 02 51 65 65 65 65 
 15 15 15 15 02 02 50 64 64 64 64 
 15 15 02 02 02 01 02 02 02 15 15 
 3D 3D 40 40 40 40 40 40 40 29 3D 
 6C 6C 6C 6C 6C 91 6C 6C 6C 6C 6C 
 15 15 02 02 02 02 58 6C 6C 6C 6C 
 15 15 02 02 02 02 51 65 65 65 65 
 3D 3D 3D 3D 79 02 02 29 3D 3D 3D 
 3D 3D 02 04 12 02 02 02 02 29 3D 
 02 02 02 02 02 8E 65 65 65 65 65 
 3D 3D 3D 3D 79 02 02 02 02 29 3D 
 3D 3D 3D 3D 79 02 02 02 02 02 02 
 3D 3D 3D 3D 50 65 65 65 65 65 65 
 3D 3D 02 02 02 02 02 02 02 2A 3D 
 6C 6C 6C 6C 80 02 02 02 02 15 15 
 65 65 65 65 79 02 02 15 15 15 15 
 65 65 65 65 65 65 6C 6C 6C 6C 6C 
 02 02 02 02 02 02 51 65 65 65 65 
 3D 3E 02 02 02 01 02 02 02 29 3D 
 65 65 65 65 65 91 65 65 65 65 65 
 02 02 02 02 02 02 02 02 02 2A 3D 
 65 65 65 65 79 02 02 02 02 29 3D 
 65 65 65 65 91 02 02 02 02 02 02 
 65 65 65 65 65 8C 02 02 02 02 02 
 65 65 65 65 65 8D 02 02 02 02 02 
 3D 3D 3D 3E 02 02 51 65 65 65 65 
 3D 3D 3D 3D 02 02 51 65 65 65 65 
 14 14 14 14 02 02 51 65 65 65 65 
 3D 3D 02 02 2A 3D 3E 02 02 29 3D 
 3D 3D 02 2A 3D 3D 3D 02 02 29 3D 
 3D 3D 02 28 3D 3D 3D 02 02 29 3D 
 3D 3D 02 02 28 3D 3C 02 02 29 3D 
 65 65 65 65 79 02 29 3D 3D 3D 3D 
 65 65 65 65 79 02 02 02 02 15 15 
 65 65 65 65 79 02 02 02 02 02 02 
 64 64 64 64 78 02 02 02 02 02 02 
 65 65 65 65 65 65 65 65 65 65 65 
 64 64 64 64 64 64 64 64 64 64 64 
 3D 3D 3D 3D 3D 3D 65 65 65 65 65 
 3D 3D 3D 3C 02 02 51 65 65 65 65 
 3D 3D 02 02 02 02 51 65 65 65 65 
 3D 3D 02 02 02 02 50 64 64 64 64 
 3D 3D 3D 3D 3D 3C 02 02 28 3D 3D 
 15 15 02 15 02 15 02 15 02 15 15 
 15 15 02 02 02 15 02 02 02 15 15 
 15 15 15 15 15 02 02 02 02 15 15 
 02 02 02 02 02 02 02 15 15 15 15 
 02 02 02 15 15 15 15 15 02 15 15 
 15 15 02 15 15 15 15 15 02 02 02 
 15 15 02 15 15 15 15 15 02 15 15 
 3D 3D 02 58 6C 6C 80 02 02 29 3D 
 3D 3D 02 51 65 65 79 02 02 02 02 
 3D 3D 02 51 65 65 79 02 02 29 3D 
 3D 3D 02 50 64 64 78 02 02 29 3D 
 3D 3D 02 02 15 02 15 02 02 29 3D 
 3D 3D 02 2D 41 02 02 02 02 29 3D 
 3D 3D 02 9C 12 02 02 02 02 29 3D 
 3D 3D 02 9C 12 02 02 02 02 14 14 
 3D 3D 02 2B 3F 02 02 02 02 29 3D 
 3D 3D 02 02 16 02 16 02 02 29 3D 
 3D 3D 3E 02 02 02 02 02 02 29 3D 
 3D 3D 3D 3E 02 02 02 02 02 29 3D 
 3D 3D 3D 3D 3D 3E 02 02 2A 3D 3D 
 3D 3D 3D 3C 02 02 02 02 02 29 3D 
