 01 02 03 04 05 06 07 08 09 10 11
 1B 1B 1B 1B 1B 1B 1B 1B 1B 1B 1B 
 1B 1B 1B 1B 1B 0E 1A 1B 1B 1B 1B 
 1B 1B 0E 0E 0E 0E 0E 0E 0E 1A 1B 
 1B 1B 0E 0E 32 1B 34 0E 0E 1A 1B 
 1B 1B 1B 1B 1B 0E 0E 0E 0E 0E 0E 
 1B 1B 0E 32 1B 1B 1B 0E 0E 1A 1B 
 1B 1B 1B 1B 1B 0E 0E 0E 0E 1A 1B 
 1B 1B 0E 0E 0E 0E 0E 0E 0E 0E 0E 
 0E 0E 0E 0E 0E 0E 0E 0E 0E 1A 1B 
 1B 0C 0E 0E 0E 0E 0E 0E 0E 1A 1B 
 0A 0A 0E 0E 0E 0E 0E 0E 0E 0A 0A 
 05 05 05 05 05 0B 05 05 05 05 05 
 05 05 05 05 05 05 05 05 05 05 05 
 19 19 28 19 19 19 19 19 19 19 19 
 19 19 19 19 19 19 19 19 19 19 19 
 19 19 19 19 0E 0E 0E 19 19 19 19 
 19 19 0E 0E 0E 0E 0E 0E 0E 19 19 
 0E 0E 0E 0E 0E 0E 0E 0E 0E 0E 0E 
 0E 0E 0E 0E 0E 0E 0E 19 19 19 19 
 19 19 19 19 0E 0E 0E 0E 0E 0E 0E 
 1B 1B 0E 1B 1B 1B 1B 0E 0E 1A 1B 
 1B 1B 0E 33 1B 1B 1B 0E 0E 1A 1B 
 0E 0E 0E 0E 0E 0E 0E 0E 0E 19 19 
 1B 1B 0E 0E 33 1B 35 0E 0E 1A 1B 
 19 19 0E 0E 19 0E 19 0E 0E 19 19 
 19 19 0E 19 0E 19 0E 19 0E 19 19 
 19 19 0E 0E 0E 19 0E 0E 0E 19 19 
 19 19 19 0E 0E 0E 0E 0E 19 19 19 
 19 19 0E 19 19 19 19 19 19 19 19 
 19 19 0E 19 19 19 19 19 0E 19 19 
 19 19 0E 0E 19 0E 28 0E 0E 19 19 
 1B 1B 0E 0E 13 0E 13 0E 0E 1A 1B 
 1B 1B 0E 13 0E 13 0E 13 0E 1A 1B 
 1B 1B 0E 0E 0E 13 0E 0E 0E 1A 1B 
 08 08 08 08 17 0E 0E 0E 0E 1A 1B 
 05 05 05 05 07 0E 0E 0E 0E 1A 1B 
 05 05 05 05 07 0E 1A 1B 1B 1B 1B 
 1B 1B 1B 1B 1B 0E 0E 0E 0E 0A 0A 
 1B 1B 0E 0E 0E 0E 15 08 08 08 08 
 08 08 08 08 17 0E 0E 0E 0E 19 19 
 09 09 09 09 18 0E 0E 0E 0E 19 19 
 19 19 19 19 0E 0E 06 05 05 05 05 
 05 05 05 05 05 05 09 09 09 09 09 
 09 09 09 09 09 0B 09 09 09 09 09 
 08 08 08 08 08 08 08 08 08 08 08 
 08 08 08 08 17 0E 0E 0E 0E 0E 0E 
 1B 1B 0E 0E 0E 0E 06 05 05 05 05 
 05 05 05 05 07 0E 0E 0E 0E 19 19 
 19 19 0E 0E 2C 0E 0E 0E 0E 19 19 
 1B 1B 1B 1B 1B 0E 0A 0A 0A 0A 0A 
 1B 1B 1B 1B 0E 0E 06 05 05 05 05 
 05 05 05 05 07 0E 0E 0E 0E 0E 0E 
 1B 1B 0E 15 08 08 17 0E 0E 1A 1B 
 1B 1B 0E 06 05 05 07 0E 0E 1A 1B 
 1B 1B 0E 06 05 05 05 05 05 05 05 
 1B 1B 0E 16 09 09 18 0E 0E 1A 1B 
 19 19 0E 19 19 19 19 19 0E 0E 0E 
 0E 0E 0E 0E 0E 0E 06 05 05 05 05 
 19 19 0E 0E 0E 0E 16 09 09 09 09 
 19 19 0E 0E 0E 0E 06 05 05 05 05 
 05 05 05 05 07 0E 0E 19 19 19 19 
 19 19 19 19 0E 0E 15 08 08 08 08 
 1B 1B 0E 1C 1F 0E 0E 0E 0E 1A 1B 
 1B 1B 0E 1D 0C 0E 0E 0E 0E 1A 1B 
 1B 1B 0E 1E 20 0E 0E 0E 0E 1A 1B 
 1B 1B 0E 21 24 0E 0E 0E 0E 1A 1B 
 1B 1B 0E 22 0C 0E 0E 0E 0E 0A 0A 
 1B 1B 0E 23 25 0E 0E 0E 0E 1A 1B 
 1B 1B 0E 0E 0E 26 0E 0E 0E 1A 1B 
 1B 1B 1B 1B 07 0E 0E 1A 1B 1B 1B 
 1B 1B 1B 1B 07 0E 0E 0E 0E 1A 1B 
 0E 0E 0E 19 19 19 19 19 0E 19 19 
 19 19 0E 0E 0E 26 0E 0E 0E 19 19 
 19 19 0E 0E 0E 0E 0E 0E 0E 0E 0E 
 1B 1B 0E 0E 19 0E 19 0E 0E 1A 1B 
 1B 1B 1B 1B 1B 1B 05 05 05 05 05 
 05 05 05 1B 1B 1B 1B 1B 1B 1B 1B 
 1B 1B 1B 1B 27 0E 1A 1B 1B 1B 1B 
 1B 1B 0E 14 0E 14 0E 14 0E 0E 0E 
 0A 0A 0A 0A 0A 0E 0E 0E 0E 1A 1B 
 1B 1B 1B 35 0E 0E 0E 0E 0E 1A 1B 
 1B 27 0E 0E 0E 0E 06 05 05 05 05 
 05 05 05 05 05 2F 0E 0E 0E 0E 0E 
 1B 1B 0E 22 0C 0E 0E 0E 0E 0A 0A 
 1B 1B 0E 14 0E 29 0E 14 0E 0E 0E 
 1B 1B 35 0E 0E 0E 0E 0E 0E 1A 1B 
 1B 1B 1B 34 0E 0E 06 05 05 05 05 
 05 05 05 05 05 2E 0E 0E 0E 0E 0E 
 0E 0E 0E 14 0E 14 0E 14 0E 1A 1B 
 0E 0E 0E 14 0E 14 0E 14 0E 0E 0E 
 1B 1B 0D 0D 0D 0D 0D 0D 0D 1A 1B 
 05 05 05 1B 0C 0E 0E 0E 0A 0A 0A 
 1B 1B 1B 35 0E 0E 06 05 05 05 05 
 05 05 0E 0E 0E 0E 0E 0E 0E 05 05 
 1B 1B 1B 1B 34 0E 0E 0E 0E 1A 1B 
 1B 1B 1B 1B 35 0E 0E 0E 0E 1A 1B 
 1B 35 0E 0E 0E 0E 0E 0E 0E 33 1B 
 1B 34 0E 0E 0E 0E 0E 0E 0E 32 1B 
 1B 34 0E 0E 0E 0E 0E 0E 0E 1A 1B 
 1B 35 0E 0E 0E 0E 0E 0E 0E 1A 1B 
 1B 1B 1B 1B 34 0E 32 1B 1B 1B 1B 
 1B 1B 1B 1B 35 0E 33 1B 1B 1B 1B 
 1B 1B 34 0E 0E 0E 0E 0E 32 1B 1B 
 1B 1B 35 0E 0E 0E 0E 0E 33 1B 1B 
 1B 1B 1B 1B 07 0E 0E 0E 0E 0E 0E 
 1B 1B 0E 06 05 05 05 2F 0E 1A 1B 
 1B 1B 0E 06 05 05 05 2E 0E 1A 1B 
 0A 0A 0A 0A 0A 0E 1A 1B 1B 1B 1B 
 1B 1B 1B 1B 15 05 05 05 05 05 05 
 1B 1B 0E 0E 0E 0E 0E 0E 0E 0A 0A 
 0A 0A 0E 0E 0E 0E 0E 0E 0E 1A 1B 
 1B 1B 0E 0E 2C 0E 2C 0E 0E 1A 1B 
 0A 0A 0A 0A 0E 0E 06 05 05 05 05 
 1B 35 0E 0E 0E 13 0E 0E 0E 1A 1B 
 36 36 36 36 0F 0E 0E 1A 1B 1B 1B 
 1B 1B 0D 0D 0D 0D 0D 0D 0D 0D 0D 
 0E 0E 0E 0E 0E 30 05 05 05 05 05 
 1B 1B 37 37 37 37 37 37 37 37 37 
 37 37 37 37 37 37 37 37 37 37 37 
 37 37 37 37 37 37 37 37 37 1A 1B 
 1B 1B 1B 34 0E 0E 0E 0E 0E 1A 1B 
 1B 1B 34 0E 0E 0E 0E 0E 0E 1A 1B 
 05 05 05 05 0B 0E 0E 0E 0E 0E 0E 
 1B 1B 0E 06 05 05 07 0E 0E 0E 0E 
 1B 27 0E 0E 0E 0E 0E 0E 0E 1A 1B 
 1B 27 0E 0E 0E 0E 0E 0E 0E 0E 0E 
 1B 1B 1B 27 07 0E 0E 1A 1B 1B 1B 
 0E 0E 0E 0E 0E 0E 0E 0E 33 1B 1B 
 1B 1B 1B 1B 1B 0E 15 08 08 08 08 
 1B 1B 0E 2D 0C 0E 0E 0E 0E 0A 0A 
 1B 1B 0E 1C 1F 0E 1E 20 0E 1A 1B 
 08 08 08 08 08 05 05 05 05 05 05 
 05 05 05 05 05 05 08 08 08 08 08 
 1B 1B 35 0E 0E 0E 0E 0E 0E 0E 0E 
 0E 0E 0E 0E 0E 0E 0E 0E 0E 33 1B 
 1B 1B 0E 33 1B 1B 27 0E 0E 1A 1B 
 1B 1B 0E 0E 0E 0E 1C 1F 0E 1A 1B 
 1B 1B 1B 1B 1B 35 0E 0E 33 1B 1B 
 1B 1B 1B 1B 1B 34 0E 0E 32 1B 1B 
 1B 1B 0E 0E 0E 0E 0E 0E 0E 33 1B 
 1B 1B 1B 34 0E 0E 0E 32 1B 1B 1B 
 1B 1B 1B 35 0E 0E 0E 33 1B 1B 1B 
 1B 1B 0E 1E 20 0E 1C 1F 0E 1A 1B 
 1B 1B 0E 0E 0E 0E 1E 20 0E 1A 1B 
 19 19 19 19 19 0E 0E 0E 0E 19 19 
 1B 1B 0E 2D 0C 0E 0E 0E 0E 1A 1B 
 0E 0E 0E 0E 0E 31 05 05 05 05 05 
 05 05 05 05 07 0E 0E 28 19 19 19 
 1B 1B 0D 0D 0D 0D 12 0D 0D 1A 1B 
 1B 1B 37 37 37 37 37 37 37 1A 1B 
